"Tabela 4.13 - Taxa de analfabetismo da população de 15 anos ou mais de idade, segundo Grandes Regiões e características selecionadas - Brasil - 2023",
,
,
Grandes Regiões e características selecionadas,Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
,
,
Brasil ,   5.4 
Norte,   6.4 
Nordeste,   11.2 
Sudeste,   2.9 
Sul,   2.8 
Centro-Oeste,   3.7 
Situação do domicílio,
Urbana,   4.1 
Rural,   14.7 
Sexo,
Homem ,   5.7 
Mulher,   5.2 
Cor ou raça (1),
Branca,   3.2 
Preta,   7.4 
Parda,   7.1 
Preta ou parda,   7.1 
Sexo e cor ou raça (1),
Homens brancos,   3.3 
Homens pretos ou pardos,   7.5 
Mulheres brancas,   3.2 
Mulheres pretas ou pardas,   6.7 
Grupos de idade,
15 a 19 anos,   0.5 
20 a 24 anos,   0.7 
25 a 34 anos,   1.1 
35 a 44 anos,   2.8 
45 a 54 anos,   5.9 
55 a 64 anos,   9.4 
65 anos ou mais,   17.6 
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),
,
Até 20%,   7.8 
Mais de 20% até 40%,   7.6 
Mais de 40% até 60%,   8.8 
Mais de 60% até 80%,   3.2 
Mais de 80%,   0.9 
,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2023.",
Notas:,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",
"(2) Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",
