"Tabela 4.13 - Taxa de analfabetismo da população de 15 anos ou mais de idade, segundo Grandes Regiões e características selecionadas - Brasil - 2016",
,
,
Grandes Regiões e características selecionadas,Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
,
,
Brasil ,   6.7 
Norte,   7.9 
Nordeste,   13.9 
Sudeste,   3.5 
Sul,   3.3 
Centro-Oeste,   5.2 
Situação do domicílio,
Urbana,   5.0 
Rural,   17.1 
Sexo,
Homem ,   7.0 
Mulher,   6.5 
Cor ou raça (1),
Branca,   3.8 
Preta,   9.0 
Parda,   9.2 
Preta ou parda,   9.1 
Sexo e cor ou raça (1),
Homens brancos,   3.8 
Homens pretos ou pardos,   9.5 
Mulheres brancas,   3.9 
Mulheres pretas ou pardas,   8.7 
Grupos de idade,
15 a 19 anos,   0.7 
20 a 24 anos,   1.1 
25 a 34 anos,   2.0 
35 a 44 anos,   4.7 
45 a 54 anos,   7.8 
55 a 64 anos,   11.8 
65 anos ou mais,   23.6 
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),
,
Até 20%,   11.1 
Mais de 20% até 40%,   8.7 
Mais de 40% até 60%,   7.9 
Mais de 60% até 80%,   5.7 
Mais de 80%,   1.2 
,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2016.",
Notas:,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",
"(2) Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",
