"Tabela 4.13 - Taxa de analfabetismo da população de 15 anos ou mais de idade, segundo Grandes Regiões e características selecionadas - Brasil - 2018",
,
,
Grandes Regiões e características selecionadas,Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
,
,
Brasil ,   6.3 
Norte,   7.4 
Nordeste,   13.0 
Sudeste,   3.2 
Sul,   3.3 
Centro-Oeste,   4.9 
Situação do domicílio,
Urbana,   4.7 
Rural,   16.3 
Sexo,
Homem ,   6.5 
Mulher,   6.1 
Cor ou raça (1),
Branca,   3.6 
Preta,   8.3 
Parda,   8.4 
Preta ou parda,   8.4 
Sexo e cor ou raça (1),
Homens brancos,   3.6 
Homens pretos ou pardos,   8.6 
Mulheres brancas,   3.5 
Mulheres pretas ou pardas,   8.2 
Grupos de idade,
15 a 19 anos,   0.6 
20 a 24 anos,   1.0 
25 a 34 anos,   1.7 
35 a 44 anos,   4.1 
45 a 54 anos,   7.4 
55 a 64 anos,   10.9 
65 anos ou mais,   21.7 
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),
,
Até 20%,   10.3 
Mais de 20% até 40%,   8.3 
Mais de 40% até 60%,   7.5 
Mais de 60% até 80%,   5.8 
Mais de 80%,   1.1 
,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2018.",
Notas:,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",
"(2) Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",
