"Tabela 4.13 - Taxa de analfabetismo da população de 15 anos ou mais de idade, segundo Grandes Regiões e características selecionadas - Brasil - 2022",
,
,
Grandes Regiões e características selecionadas,Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
,
,
Brasil ,   5.6 
Norte,   6.4 
Nordeste,   11.7 
Sudeste,   2.9 
Sul,   3.0 
Centro-Oeste,   4.0 
Situação do domicílio,
Urbana,   4.2 
Rural,   14.9 
Sexo,
Homem ,   5.9 
Mulher,   5.4 
Cor ou raça (1),
Branca,   3.4 
Preta,   7.3 
Parda,   7.4 
Preta ou parda,   7.4 
Sexo e cor ou raça (1),
Homens brancos,   3.4 
Homens pretos ou pardos,   7.8 
Mulheres brancas,   3.4 
Mulheres pretas ou pardas,   6.9 
Grupos de idade,
15 a 19 anos,   0.5 
20 a 24 anos,   0.8 
25 a 34 anos,   1.3 
35 a 44 anos,   3.2 
45 a 54 anos,   6.2 
55 a 64 anos,   9.7 
65 anos ou mais,   18.3 
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),
,
Até 20%,   8.7 
Mais de 20% até 40%,   7.3 
Mais de 40% até 60%,   8.0 
Mais de 60% até 80%,   4.2 
Mais de 80%,   1.2 
,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2022.",
Notas:,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",
"(2) Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",
