"Tabela 4.17 - Jovens de 15 a 29 anos de idade que não estudam e não concluíram ensino médio, total e distribuição percentual por principal motivo de ter parado de frequentar escola, segundo características selecionadas - Brasil - 2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
Características selecionadas,Jovens de 15 a 29 anos de idade que não estudam e não concluíram o ensino médio,,,,,,,,,,,,
,"Total
(1 000 pessoas)",Motivos de ter parado de frequentar escola (%),,,,,,,,,,,
,,Precisava trabalhar,Não tinha escola na localidade ou esta ficava distante,Faltava vaga na escola ou não tinha o turno letivo desejado,"Faltava dinheiro para pagar mensalidade, transporte, material escolar etc.",Por gravidez,"Tinha que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",Desistiu por não aprender ou por excesso de repetência,Ter concluído o nível de estudo que desejava,A escola não era adaptada para pessoa com deficiência,Por ter problema de saúde permanente,Não tinha interesse em estudar,Outro motivo
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,9624.26450419093,40.3011359688489,2.3492247006213,0.802331338566238,0.861137665483847,9.24843786696934,4.57934690910661,2.52635789451789,5.18134488513783,0.774399720002663,3.55602093510212,24.7863571693329,5.03390494631081
Situação de atividade,,,,,,,,,,,,,
Só está ocupado,5589.08536170844,53.4992971859459,1.934588139357,0.657407610056585,0.698496311090452,5.36645228668213,2.41942329124841,2.31671257334349,5.04059858404978,0.0988855636103683,0.575442912437802,23.4248420453265,3.96785349685179
Não estuda e não está ocupado,4035.17914248245,22.0204978471507,2.92353356106152,1.00306371276243,1.08641054209008,14.6253363924207,7.57103502225258,2.81673548479399,5.37629114733564,1.71004746940995,7.68438907135647,26.6721778431199,6.51048190624563
Grupos de idade,,,,,,,,,,,,,
15 a 17 anos,459.813731153739,20.2269379415168,3.79456938516615,5.99676017650517,0.95193132129334,9.92356515152514,3.78940895806006,1.77238479941895,5.07681174558811,1.4516334762583,6.77409803692564,29.1959518936559,11.0459471140865
18 a 24 anos,4664.21105495251,36.880516294768,2.1994053333876,0.799708675166492,1.03111867498606,9.79648447928456,4.61047889584337,2.83041705860807,5.32521134476252,0.841138863927315,3.68710137582914,26.2129229867083,5.78549601672852
25 a 29 anos,4500.23971808467,45.8974787352785,2.35682425505305,0.274306789115312,0.6756863283159,8.61144116388578,4.62779280834928,2.28825748218737,5.04291720183251,0.636032239106858,3.09135615921167,22.8572607649347,3.64064607272945
Sexo,,,,,,,,,,,,,
Homem,5673.97222819358,51.7317703941531,1.85870505654529,0.825635037214028,0.878416390212357,0,0.614646083304727,2.97649387884292,5.33629531325718,0.650952717921017,3.87729538123398,26.9600559379752,4.28973380934011
Mulher,3950.29227599731,23.8828312591202,3.05377885596361,0.768859248476797,0.836319500801727,22.53236116809,10.2740147480873,1.87980850132747,4.95878301769367,0.951711881363723,3.0945608309835,21.6641814962372,6.10278949185463
Cor ou raça (1),,,,,,,,,,,,,
Branca,2680.96044665282,40.816882657649,2.06279900217759,0.751185924185253,0.860834672527294,7.0844507546704,3.86325466882775,2.54494048496366,5.4729254312457,1.3035270222189,4.36918098898605,25.6959463723671,5.17407202018164
Preta,1304.20983206417,44.3571309423608,1.73237448185165,0.555339801462532,0.425373523600842,9.23227440659145,3.98778380245725,2.76307955602552,5.10541856044708,0.332773438628428,2.60609777547725,23.4877017903464,5.41465192075053
Parda,5526.46166006861,39.263082797192,2.54965122948018,0.890754049694227,0.95429294297656,10.169172224772,4.99785154895349,2.46598957575104,5.12231904698522,0.624384521393958,3.44067385420094,24.6836833286522,4.83814487994856
Preta ou parda,6830.67149213279,40.2357115766012,2.39360502362734,0.826711947704401,0.853304056611001,9.99028624738051,4.80499491874541,2.52271425848949,5.11909216354705,0.568705948398653,3.28132461178304,24.4553293691591,4.94821987795342
Cor ou raça e sexo (1),,,,,,,,,,,,,
Homem branco,1616.49281921481,48.7535932133567,1.60448758538738,0.66858713782222,0.907566130047279,0,0.650487336708837,3.07057081554435,5.51720431290815,0.891752773351753,4.42644853942476,28.5447426943047,4.96455946114386
Homem preto ou pardo,4002.552065467,53.0332307978998,1.90812426618413,0.890488857074529,0.859581995751148,0,0.60147280319066,2.95190119721116,5.28850587359775,0.550845649465589,3.68452667943405,26.2123910308472,4.01893084934428
Mulher branca,1064.46762743801,28.7642515669628,2.75878739591451,0.87661984212699,0.789868620046845,17.8428462923238,8.74213983950952,1.74672207695981,5.40568384267571,1.92884441024823,4.28221490220984,21.3697849381283,5.49223627289357
Mulher preta ou parda,2828.11942666579,22.1237688810086,3.08069128672038,0.736450412805398,0.844419078828455,24.1292368436787,10.7541128970074,1.91529893795715,4.87932605300428,0.593983090414061,2.71068489499432,21.968613031499,6.26341459208194
Nível de instrução,,,,,,,,,,,,,
Sem instrução ou fundamental incompleto,4106.1744701026,34.994267532818,2.45001278500439,0.909606718923385,0.715836452819198,8.03735925489382,4.81366606491956,3.5188698383795,2.72478551609776,1.44227134755042,6.40303332977617,29.178125412103,4.81216574671442
Ensino fundamental completo ou médio incompleto,5518.09003408833,44.2501341826525,2.27422529748944,0.722504546076093,0.969260607703486,10.1496373848226,4.40498307496987,1.78780031753377,7.00934357728131,0.277416631759963,1.43747456509751,21.5183121527296,5.19890766188426
Condição na unidade domiciliar (2),,,,,,,,,,,,,
Pessoa de referência,2785.18309486849,46.979318432283,2.03445687316314,0.505371918065393,0.66734170616663,13.5836552377359,5.76624359074004,1.84522574972029,3.14643426474113,0.0322065127094401,0.801432366252528,19.8462186998316,4.79209464859048
Cônjuge,2248.40768095413,45.0866296469203,2.82685541462071,0.230774970951358,0.605693115178332,12.3078851534801,7.49492037068377,1.56837627648673,4.93085765954166,0.0249092293290126,0.620730693302799,20.2832134707359,4.01915399876911
Filho,3190.37954921013,34.0982331551323,2.46992753140859,1.23801345841716,1.0833383519985,4.63699563084231,2.03008830419801,3.63978011591693,6.91997225797412,1.92512242744585,7.2165335920465,29.2917879296989,5.45020724492106
Outro parente ou agregado,1397.35174044721,33.3339179799431,1.93744725712479,1.32084614738112,1.1529253561794,6.23288006141861,3.35235064006132,2.8886182453533,5.67446854882245,0.834041525838018,5.41940380336406,31.6443235160507,6.20877691846319
Situação do domicílio,,,,,,,,,,,,,
Urbano,7479.88241591871,41.2603545203743,1.43043260366224,0.84825093060941,0.868950744842518,9.33332016583105,3.93528254944669,2.5382432273734,5.49806971950052,0.817522513939271,3.51296075143337,24.6591697569152,5.2974425160724
Rural,2144.38208827222,36.9552574447658,5.55409051605367,0.642157855049291,0.833884632906899,8.95235741649792,6.82592680029648,2.48490031439751,4.07656764782039,0.62398183045966,3.70622043192292,25.2300033342921,4.11465177553747
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%),,,,,,,,,,,,,
,,,,,,,,,,,,,
Até 20%,3441.37313932114,31.5089626332076,3.16268880111413,0.935273736465817,0.970330681472019,13.7066625183957,7.42091718084417,2.61270437693851,4.75688185663824,0.465707409085299,3.15609013156547,26.0224488226479,5.28133185162484
Mais de 20% até 40%,2736.85104476625,41.2684783276806,2.28887061531441,0.849366474212169,0.812030739249754,9.60660582061986,4.24316262749471,2.66620830484701,5.27149590725688,0.824801720055539,4.3313237843386,23.1197382426968,4.71791743623366
Mais de 40% até 60%,1788.69668715377,45.8810311434131,1.74326433080319,0.912950181933565,0.596273431244026,5.78799372371565,2.33793818469486,2.52999296158251,5.76633068344712,1.08402594286088,3.73887590646892,24.3112629588884,5.31006055094766
Mais de 60% até 80%,1216.79317374364,51.0912647017413,1.72537325566664,0.436531083712268,1.19671764910377,3.48930686907891,1.72785552284415,2.57294028666503,5.85362052933053,0.470801543076947,2.5635894391763,24.22719288402,4.64480623558442
Mais de 80%,423.57932514642,50.6668226751114,0.542476296298387,0.0341720566413305,0.381152799677349,2.02309843113513,1.43119102801688,0.873283308447913,3.82968080881251,2.55237576254998,4.01705431536306,28.5414693038735,5.1072232140726
Grupos de idade com que deixou de frequentar escola,..,..,..,..,..,..,..,..,..,..,..,..,..
Nunca frequentou,270.54707024636,22.1920335383997,1.65421356294662,0.20254954072539,1.2961165819489,1.05224781916421,5.50877482575161,0,0,7.36617835619979,43.4618977091591,13.0190591623322,4.24692890337244
Até 10 anos,116.32464324874,27.0676619030517,6.83530064571776,0,0.310786549774281,1.76404756316519,3.454304913472,6.40367431942302,0,3.41385553747917,15.1524848693666,30.7242275010864,4.87365619746391
11 a 14 anos,1251.82238677814,30.1327000148945,2.55662944883427,1.1108567722311,0.533421047136413,8.25816346216386,5.20743810951139,4.06993692557357,1.35762003770124,1.54735474102789,3.84499572302748,35.547977096479,5.8329066214192
15 a 17 anos,4422.31695019876,40.0725947785897,2.44651795147016,0.981111194883035,0.717904930357675,11.2872416387705,4.40584834156184,2.55433063471363,4.22848242342345,0.351733021560585,1.91470408124941,26.1920314625647,4.84749954085529
18 anos ou mais,3563.25345371894,45.9640789405634,2.06193010611209,0.543792300930394,1.13897383131509,7.9326418862924,4.54017572400815,2.01460091265661,8.26981448108666,0.440756193376547,2.08301475959263,19.9606867905502,5.04953407351589
,,,,,,,,,,,,,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2022.",,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",,,,,,,,,,,,,
"(2) Exclusive pessoas cuja condição no domicílio é pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,,,,,
