"Tabela 4.17 - Jovens de 15 a 29 anos de idade que não estudam e não concluíram ensino médio, total e distribuição percentual por principal motivo de ter parado de frequentar escola, segundo características selecionadas - Brasil - 2019",,,,,,,,,,,,,
,,,,,,,,,,,,,
Características selecionadas,Jovens de 15 a 29 anos de idade que não estudam e não concluíram o ensino médio,,,,,,,,,,,,
,"Total
(1 000 pessoas)",Motivos de ter parado de frequentar escola (%),,,,,,,,,,,
,,Precisava trabalhar,Não tinha escola na localidade ou esta ficava distante,Faltava vaga na escola ou não tinha o turno letivo desejado,"Faltava dinheiro para pagar mensalidade, transporte, material escolar etc.",Por gravidez,"Tinha que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",Desistiu por não aprender ou por excesso de repetência,Ter concluído o nível de estudo que desejava,A escola não era adaptada para pessoa com deficiência,Por ter problema de saúde permanente,Não tinha interesse em estudar,Outro motivo
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,11243.81977643,40.3261024736856,2.31531804174649,0.717815831921731,0.774901216248373,10.1787136711634,5.3288725430519,2.82770986720052,2.10551960290589,0.650074999205819,3.30333881581784,28.5196665918453,2.95196634520764
Situação de atividade,,,,,,,,,,,,,
Só está ocupado,6054.58042693823,54.85526620936,1.79146333972032,0.524674377725534,0.667839753744718,5.18461699017586,2.69652393186578,2.29758700615737,1.87284231612615,0.0861212081537556,0.647562880127385,26.8841168965457,2.49138509029735
Não estuda e não está ocupado,5189.23934949167,23.3741015253356,2.92652909057925,0.943164941771748,0.899815908305786,16.0056100577996,8.40018325060797,3.44623433334574,2.37699741524993,1.3080719338309,6.40198351412796,30.427955361261,3.48935266778447
Grupos de idade,,,,,,,,,,,,,
15 a 17 anos,638.69615752829,14.6402317152266,2.8788964905344,3.32146256981832,1.33124298568422,12.1515600770062,7.38137796749965,3.87663762874811,1.09764508382211,1.47747204262334,5.86086619470104,37.9276876602331,8.05491958410308
18 a 24 anos,5699.90332491629,37.4400201290906,2.21394442961369,0.856979127156814,0.823033207992853,10.9322546687554,4.83976185365688,2.99451969653812,1.92419765328529,0.661777544135169,3.19993737072563,31.1132734488238,3.00030087022556
25 a 29 anos,4905.22029398528,47.0242435028297,2.35973284599391,0.217092857403316,0.646531640072046,9.04621402313477,5.62997141900754,2.49729738120416,2.44744984571043,0.528743305323766,3.09048299968573,24.2808813777667,2.23135880186828
Sexo,,,,,,,,,,,,,
Homem,6531.49167093501,51.8426706807984,1.77059919256859,0.743976836403952,0.679105665521735,0,0.678309257698979,3.36801276143231,1.97148936366531,0.661079814978294,3.62710084832896,32.0363058673126,2.62134971129098
Mulher,4712.32810549487,24.363638137893,3.07032205393699,0.681555542091805,0.907678015248012,24.2868534432038,11.7747554874121,2.07882656059414,2.29129134283045,0.634821845998104,2.85459055988767,23.6454516341441,3.41021537675981
Cor ou raça (1),,,,,,,,,,,,,
Branca,3047.23137719853,41.3957014512711,1.97899397200587,0.383799205248145,0.848001914288066,8.7366194392575,4.15855276987995,3.5227558413421,2.16511498329462,0.767958831534947,4.08357212753863,29.0642782393115,2.89465122502753
Preta,1284.92992033402,44.9219556114378,1.73157993144297,0.736126550746145,0.69826388411188,10.4609228405234,4.42629028967941,2.84165490965518,1.18796868490944,0.490040064813276,2.40897835802544,26.901439768984,3.19477910567129
Parda,6798.67861337935,38.889642296181,2.56343699313406,0.845729523422784,0.737948551771622,10.789097460266,6.03285321562153,2.55175994837321,2.24624397757569,0.633164793835328,3.117727108962,28.6647555899751,2.92764054088202
Preta ou parda,8083.60853371341,39.8485086038797,2.43120916152269,0.828307583906241,0.731640475787753,10.7369324665948,5.7774820204637,2.59784019928489,2.07802583813636,0.61041440384636,3.00506795775748,28.3844677398224,2.97010354899792
Cor ou raça e sexo (1),,,,,,,,,,,,,
Homem branco,1800.36353799384,50.769851267312,1.33578372243019,0.392779317632692,0.756637560783938,0,0.778336468077702,4.26842926043157,2.0889153815455,0.696739732364149,4.17519770319783,32.1998512892458,2.53747829697862
Homem preto ou pardo,4672.36847302858,52.1790973976844,1.91362250146283,0.851020260336966,0.641286627760293,0,0.641053399730164,3.0619347367903,1.90591024202268,0.648199240463988,3.42322585635322,32.0869057462279,2.64774399116796
Mulher branca,1246.86783920468,27.8602833437222,2.90773095935058,0.370832741284699,0.979923715099071,21.3515017781911,9.03927708479924,2.4460713742568,2.27514026447139,0.870792720840855,3.95127314573976,24.5367964867798,3.41037638546468
Mulher preta ou parda,3411.24006068481,22.9593265735518,3.14014654191873,0.797198077860015,0.855397955012356,25.4432867135849,12.8128377047714,1.96217086878644,2.31377221502333,0.558660591089104,2.43231794679685,23.313246041342,3.41163877026342
Nível de instrução,,,,,,,,,,,,,
Sem instrução ou fundamental incompleto,5142.4960543082,34.4935066772427,2.4197026850458,0.6041418074202,0.604220902386672,8.69838739617246,5.62247244719076,4.03678492792323,0.814121199949313,1.23578135837635,5.43886980864035,32.954248066601,3.07776272305107
Ensino fundamental completo ou médio incompleto,6101.32372212168,45.2421014004151,2.22733752460872,0.813625896933842,0.918758988849335,11.4264055450805,5.08141208736335,1.80864187272817,3.193973763708,0.156412840271838,1.50340814427762,24.7819829718537,2.84593896390991
Condição na unidade domiciliar (2),,,,,,,,,,,,,
Pessoa de referência,2995.90981455707,51.0266672702199,1.94970816983241,0.260970443242997,0.610359370247383,12.6839409880759,5.83390641392524,2.01149758581601,1.56886176965841,0.075870825935929,0.616754413444914,20.8660252078647,2.49543754173666
Cônjuge,2685.17037888891,41.3069441176807,3.00309285800988,0.314222296965054,0.631454781721746,15.5544178549289,10.1153457770978,1.77353602954519,2.98013975725897,0.0564423379144053,0.592179697169891,20.9795113762517,2.69271311545594
Filho,3917.15850734151,33.7191176143102,2.27349464126232,1.19173212219085,0.874498367613125,5.66151800021801,2.43339026255748,4.1957083067104,1.89727447738486,1.4281530068669,6.8811467156522,36.3385178639358,3.10544862129816
Outro parente ou agregado,1641.65715255424,34.9647359300532,1.95662900947089,1.0825670309424,1.07400963332674,7.58612187408391,3.48195830679521,2.78407331277351,2.12348211513416,0.813912322421935,4.11155271691542,36.1709798423026,3.84997790578029
Situação do domicílio,,,,,,,,,,,,,
Urbano,8525.49809251737,42.004418551069,1.1192154600637,0.657981895794623,0.692934841638168,10.1171162607415,4.93767481424914,2.90941851390961,2.2259227591237,0.601591207991062,3.3435480484463,28.4922399394902,2.89793770748319
Rural,2718.32168391256,35.0623838339619,6.06666591898308,0.905473573585773,1.03197313475068,10.3719022139923,6.55578969213058,2.57144626316009,1.72789804150534,0.802135173675104,3.17723021796335,28.6056850618893,3.12141687440254
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%),,,,,,,,,,,,,
,,,,,,,,,,,,,
Até 20%,4244.50283771697,33.1807813700797,3.26794210875633,0.911451779228371,0.899723956867725,14.0850572542893,7.93080924043022,2.71467862058132,2.04213816498807,0.388298644261361,2.58285056881496,28.9563443152254,3.03992397647736
Mais de 20% até 40%,3190.59670668098,39.615656520751,2.06387664322642,0.578143560022626,0.936658362124933,11.4139565318019,4.62893137742707,2.95777102787019,2.08882182344721,0.779912949792879,3.66504335072933,28.5731326229899,2.69809522981677
Mais de 40% até 60%,2097.77470698671,46.4003758983747,1.66194123684613,0.839168876250619,0.486753042800641,6.17147161982827,4.09657451612724,2.64143380009736,1.88971097738721,0.795126902222001,4.24645268642401,28.1761899125394,2.59480053110275
Mais de 60% até 80%,1320.26589330592,52.7543022962834,1.32410957895731,0.300240991435012,0.559868619868775,3.1248087458653,1.61722015832932,3.21437452652855,2.46685236973424,0.84544799162464,2.86665810136249,27.4125828558135,3.51353376419771
Mais de 80%,386.75570865115,49.2558169859411,0.8593955381711,0.519511557488688,0.375420395707631,2.90557295455879,1.88024349818434,2.71432954305762,2.7582466313179,1.00474404062515,4.63523224876301,28.9602685814156,4.13121802476916
Grupos de idade com que deixou de frequentar escola,..,..,..,..,..,..,..,..,..,..,..,..,..
Nunca frequentou,260.44865512965,15.505177303011,2.86621301293875,0.0984954700504407,1.12423046312619,0.882073908942395,2.52538231574505,0,0,10.5572993050406,50.1316813414891,13.7165937103674,2.59285316928911
Até 10 anos,188.75474229281,27.2843828155843,4.45271021962564,0.450523149093029,1.75729345732912,0.606922952919969,3.78475423795597,6.82253615757792,0,4.41886408514236,13.4818430418738,34.5428063427806,2.39736354011719
11 a 14 anos,1611.49022161606,33.91607694095,3.05908759882038,0.487376262871996,0.501405579043289,7.47386081474995,5.89772452662599,4.59268773536394,1.50692631061063,0.524973153574343,3.15095110350708,35.5116215543214,3.37730841956091
15 a 17 anos,5474.21512494666,39.6132558326575,2.10423553575987,0.860943530111614,0.58399420178032,11.5279207186348,4.95838207814482,2.61439324218837,2.19705426333024,0.273234235309772,1.66559608346571,30.6836434809316,2.91734679768499
18 anos ou mais,3708.9110324447,46.5700463538991,2.15624464246711,0.663781971451138,1.10097754260082,10.502531769295,5.90399283874671,2.3709524413722,2.48551075430939,0.373122481377462,1.98039189488662,23.020748538113,2.87169877148216
,,,,,,,,,,,,,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2019.",,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",,,,,,,,,,,,,
"(2) Exclusive pessoas cuja condição no domicílio é pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,,,,,
